Date and time: Wed Jun 12 00:44:45 2024

alg i

SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
TYPE0
27 ,    5 ,     1 ,    0 ,     1 ,     11 ,    15 ,    4         ,
27 ,    45 ,     1 ,    0 ,     1 ,     520 ,    564 ,    37         ,
27 ,    85 ,     1 ,    0 ,     1 ,     1913 ,    1997 ,    113         ,
27 ,    125 ,     1 ,    0 ,     1 ,     3952 ,    4076 ,    225         ,
27 ,    165 ,     1 ,    0 ,     1 ,     6938 ,    7102 ,    385         ,
27 ,    205 ,     1 ,    0 ,     1 ,     10709 ,    10913 ,    591         ,
27 ,    245 ,     1 ,    0 ,     1 ,     15547 ,    15791 ,    847         ,
27 ,    285 ,     1 ,    0 ,     1 ,     20253 ,    20537 ,    1095         ,
27 ,    325 ,     1 ,    0 ,     1 ,     27447 ,    27771 ,    1478         ,
27 ,    365 ,     1 ,    0 ,     1 ,     34906 ,    35270 ,    1870         ,
27 ,    405 ,     1 ,    0 ,     1 ,     43483 ,    43887 ,    2319         ,
27 ,    445 ,     1 ,    0 ,     1 ,     52112 ,    52556 ,    2889         ,
27 ,    485 ,     1 ,    0 ,     1 ,     62568 ,    63052 ,    3325         ,
27 ,    525 ,     1 ,    0 ,     1 ,     71588 ,    72112 ,    3919         ,
27 ,    565 ,     1 ,    0 ,     1 ,     80602 ,    81166 ,    4275         ,
27 ,    605 ,     1 ,    0 ,     1 ,     93671 ,    94275 ,    6026         ,
27 ,    645 ,     1 ,    0 ,     1 ,     105874 ,    106518 ,    5820         ,
27 ,    685 ,     1 ,    0 ,     1 ,     119009 ,    119693 ,    6285         ,
27 ,    725 ,     1 ,    0 ,     1 ,     133268 ,    133992 ,    7186         ,
27 ,    765 ,     1 ,    0 ,     1 ,     147817 ,    148581 ,    8503         ,
27 ,    805 ,     1 ,    0 ,     1 ,     165016 ,    165820 ,    8908         ,
27 ,    845 ,     1 ,    0 ,     1 ,     183655 ,    184499 ,    9791         ,
27 ,    885 ,     1 ,    0 ,     1 ,     201034 ,    201918 ,    10776         ,
27 ,    925 ,     1 ,    0 ,     1 ,     217185 ,    218109 ,    11570         ,
27 ,    965 ,     1 ,    0 ,     1 ,     240046 ,    241010 ,    12735         ,
27 ,    1005 ,     1 ,    0 ,     1 ,     260632 ,    261636 ,    13818         ,
27 ,    1045 ,     1 ,    0 ,     1 ,     279820 ,    280864 ,    15378         ,
27 ,    1085 ,     1 ,    0 ,     1 ,     296563 ,    297647 ,    39993         ,
27 ,    1125 ,     1 ,    0 ,     1 ,     317535 ,    318659 ,    44830         ,
27 ,    1165 ,     1 ,    0 ,     1 ,     338945 ,    340109 ,    18088         ,
27 ,    1205 ,     1 ,    0 ,     1 ,     363211 ,    364415 ,    19478         ,
27 ,    1245 ,     1 ,    0 ,     1 ,     389785 ,    391029 ,    20715         ,
27 ,    1285 ,     1 ,    0 ,     1 ,     414698 ,    415982 ,    22002         ,
27 ,    1325 ,     1 ,    0 ,     1 ,     442726 ,    444050 ,    23842         ,
27 ,    1365 ,     1 ,    0 ,     1 ,     472451 ,    473815 ,    25568         ,
27 ,    1405 ,     1 ,    0 ,     1 ,     496413 ,    497817 ,    27899         ,
27 ,    1445 ,     1 ,    0 ,     1 ,     521145 ,    522589 ,    54324         ,
27 ,    1485 ,     1 ,    0 ,     1 ,     551274 ,    552758 ,    76497         ,
27 ,    1525 ,     1 ,    0 ,     1 ,     579979 ,    581503 ,    32165         ,
27 ,    1565 ,     1 ,    0 ,     1 ,     616169 ,    617733 ,    32852         ,
27 ,    1605 ,     1 ,    0 ,     1 ,     647801 ,    649405 ,    35761         ,
27 ,    1645 ,     1 ,    0 ,     1 ,     684115 ,    685759 ,    36214         ,
27 ,    1685 ,     1 ,    0 ,     1 ,     716426 ,    718110 ,    39308         ,
27 ,    1725 ,     1 ,    0 ,     1 ,     748980 ,    750704 ,    39620         ,
27 ,    1765 ,     1 ,    0 ,     1 ,     782805 ,    784569 ,    41590         ,
27 ,    1805 ,     1 ,    0 ,     1 ,     817979 ,    819783 ,    43160         ,
27 ,    1845 ,     1 ,    0 ,     1 ,     856481 ,    858325 ,    46313         ,
27 ,    1885 ,     1 ,    0 ,     1 ,     897837 ,    899721 ,    47856         ,
27 ,    1925 ,     1 ,    0 ,     1 ,     935716 ,    937640 ,    49982         ,
27 ,    1965 ,     1 ,    0 ,     1 ,     972811 ,    974775 ,    51562         ,
27 ,    2005 ,     1 ,    0 ,     1 ,     1014443 ,    1016447 ,    53945         ,
27 ,    2045 ,     1 ,    0 ,     1 ,     1059456 ,    1061500 ,    55983         ,
